UID,Stratum,featTyp,spuddate,Date,USUh,n
ALU_52_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02748991098280221,8
ALU_41_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02910045698741809,8
ALU_35_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02943649712194587,8
ALU_44_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02883285946506011,8
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-10-01,0.02985812061132679,8
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-10-01,0.02906174523229647,8
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-10-01,0.02882261497045266,8
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-10-01,0.02889457600425057,8
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-10-01,0.02804161357012791,8
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-10-01,0.02831199059916855,8
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-10-01,0.03012813820155647,8
ALU_20_disturbed,ALU,disturbed,2003-06-25,2003-10-01,0.02976048051369396,8
ALU_52_undisturbed,ALU,undisturbed,NA,2003-10-01,0.02819476123353937,8
ALU_38_undisturbed,ALU,undisturbed,NA,2003-10-01,0.03007290842986455,8
ALU_39_undisturbed,ALU,undisturbed,NA,2003-10-01,0.02959024994665817,8
ALU_33_undisturbed,ALU,undisturbed,NA,2003-10-01,0.0294937397955797,8
ALU_37_undisturbed,ALU,undisturbed,NA,2003-10-01,0.02909051957369637,8
ALU_34_undisturbed,ALU,undisturbed,NA,2003-10-01,0.0287856961164808,8
ALU_30_undisturbed,ALU,undisturbed,NA,2003-10-01,0.03053827748104282,8
ALU_41_undisturbed,ALU,undisturbed,NA,2003-10-01,0.02938721191727844,8
ALU_104_disturbed,ALU,disturbed,1999-01-01,2004-03-01,0.02734939607992778,8
ALU_102_disturbed,ALU,disturbed,1999-01-01,2004-03-01,0.02788515847353449,8
ALU_103_disturbed,ALU,disturbed,1999-01-01,2004-03-01,0.02767716594922766,8
